aUrlId,pId,aId,aName
6391996,p0,a0,E. Bolyen
6391996,p13,a0,E. Bolyen
6307534,p0,a1,J. Rideout
6307534,p13,a1,J. Rideout
40950692,p0,a2,Matthew R. Dillon
40950692,p13,a2,Matthew R. Dillon
4230536,p0,a3,N. Bokulich
4230536,p13,a3,N. Bokulich
5538503,p0,a4,C. Abnet
5538503,p13,a4,C. Abnet
1402012502,p0,a5,G. Al-Ghalith
1402012502,p13,a5,G. Al-Ghalith
39168440,p0,a6,Harriet Alexander
39168440,p13,a6,Harriet Alexander
39168440,p13,a6,Harriet Alexander
1777308,p0,a7,E. Alm
1777308,p13,a7,E. Alm
144893958,p0,a8,M. Arumugam
144893958,p13,a8,M. Arumugam
3088847,p0,a9,F. Asnicar
3088847,p13,a9,F. Asnicar
2115297093,p0,a10,Yang Bai
2115297093,p13,a10,Yang Bai
39497753,p0,a11,J. Bisanz
39497753,p13,a11,J. Bisanz
2027458,p0,a12,K. Bittinger
2027458,p13,a12,K. Bittinger
4347079,p0,a13,A. Brejnrod
4347079,p13,a13,A. Brejnrod
4373110,p0,a14,Colin J. Brislawn
4373110,p13,a14,Colin J. Brislawn
2107517217,p0,a15,C. T. Brown
2107517217,p13,a15,C. T. Brown
2107517217,p2039,a15,C. T. Brown
2923325,p0,a16,B. Callahan
2923325,p13,a16,B. Callahan
1401984320,p0,a17,A. Caraballo-Rodríguez
1401984320,p13,a17,A. Caraballo-Rodríguez
4011830,p0,a18,John H. Chase
4011830,p13,a18,John H. Chase
36248090,p0,a19,E. Cope
36248090,p13,a19,E. Cope
39269675,p0,a20,R. D. da Silva
48958834,p0,a21,C. Diener
2975900,p0,a22,P. Dorrestein
2975900,p13,a22,P. Dorrestein
144528092,p0,a23,G. Douglas
144528092,p13,a23,G. Douglas
5307931,p0,a24,D. Durall
5307931,p13,a24,D. Durall
32381467,p0,a25,C. Duvallet
32381467,p13,a25,C. Duvallet
31909725,p0,a26,C. Edwardson
31909725,p13,a26,C. Edwardson
144110054,p0,a27,Madeleine Ernst
144110054,p13,a27,Madeleine Ernst
6199292,p0,a28,M. Estaki
6199292,p13,a28,M. Estaki
4324350,p0,a29,J. Fouquier
4324350,p13,a29,J. Fouquier
147069795,p0,a30,J. Gauglitz
147069795,p13,a30,J. Gauglitz
6533031,p0,a31,S. Gibbons
32145672,p0,a32,D. Gibson
32145672,p13,a32,D. Gibson
144359100,p0,a33,Antonio Gonzalez
144359100,p13,a33,Antonio Gonzalez
84717638,p0,a34,Kestrel Gorlick
84717638,p13,a34,Kestrel Gorlick
5409083,p0,a35,Jiarong Guo
5409083,p13,a35,Jiarong Guo
32326419,p0,a36,Benjamin M Hillmann
32326419,p13,a36,Benjamin M Hillmann
32750186,p0,a37,S. Holmes
32750186,p13,a37,S. Holmes
51357334,p0,a38,H. Holste
51357334,p13,a38,H. Holste
2194791,p0,a39,C. Huttenhower
2194791,p13,a39,C. Huttenhower
2194791,p13,a39,C. Huttenhower
2194791,p1191,a39,C. Huttenhower
2306305,p0,a40,G. Huttley
2306305,p13,a40,G. Huttley
1938854376,p0,a41,Stefan Janssen
1938854376,p13,a41,Stefan Janssen
4376295,p0,a42,A. Jarmusch
4376295,p13,a42,A. Jarmusch
14215968,p0,a43,Lingjing Jiang
14215968,p13,a43,Lingjing Jiang
51396990,p0,a44,Benjamin D. Kaehler
51396990,p13,a44,Benjamin D. Kaehler
144664874,p0,a45,K. Kang
144664874,p13,a45,K. Kang
144664874,p13,a45,K. Kang
1410118534,p0,a46,Christopher R. Keefe
1410118534,p13,a46,Christopher R. Keefe
1978283,p0,a47,P. Keim
1978283,p13,a47,P. Keim
2654622,p0,a48,S. Kelley
2654622,p13,a48,S. Kelley
144064820,p0,a49,D. Knights
144064820,p13,a49,D. Knights
48888354,p0,a50,I. Koester
48888354,p13,a50,I. Koester
48888354,p13,a50,I. Koester
2395456,p0,a51,T. Kosciólek
2395456,p13,a51,T. Kosciólek
1410137287,p0,a52,Jorden Kreps
1410137287,p13,a52,Jorden Kreps
144015417,p0,a53,M. Langille
144015417,p13,a53,M. Langille
48174487,p0,a54,Joslynn S. Lee
48174487,p13,a54,Joslynn S. Lee
145061660,p0,a55,R. Ley
145061660,p13,a55,R. Ley
145061660,p13,a55,R. Ley
2186737813,p0,a56,Yong-xin Liu
2186737813,p13,a56,Yong-xin Liu
4244834,p0,a57,E. Loftfield
4244834,p13,a57,E. Loftfield
2345044,p0,a58,C. Lozupone
2345044,p13,a58,C. Lozupone
8504175,p0,a59,Massoud Maher
8504175,p13,a59,Massoud Maher
3968465,p0,a60,C. Marotz
