submissionId,paperId,paperTitle,paperAbstract,conferenceJournalId,conferenceJournalTitle,proceedingsVolume,decision,finalPaperId,proceedingVolumeYear,acceptanceDate
s1,p1,High-Dimensional Probability: An Introduction with Applications in Data Science,"© 2018, Cambridge University Press Let us summarize our findings. A random projection of a set T in R n onto an m-dimensional subspace approximately preserves the geometry of T if m ⪆ d ( T ) . For...",c14,International Conference on Exploring Services Science,cp14,accepted,f0,2016,2016-05-08
s3,p3,AutoDS: Towards Human-Centered Automation of Data Science,"Data science (DS) projects often follow a lifecycle that consists of laborious tasks for data scientists and domain experts (e.g., data exploration, model training, etc.). Only till recently, machine learning(ML) researchers have developed promising automation techniques to aid data workers in these tasks. This paper introduces AutoDS, an automated machine learning (AutoML) system that aims to leverage the latest ML automation techniques to support data science projects. Data workers only need to upload their dataset, then the system can automatically suggest ML configurations, preprocess data, select algorithm, and train the model. These suggestions are presented to the user via a web-based graphical user interface and a notebook-based programming user interface. Our goal is to offer a systematic investigation of user interaction and perceptions of using an AutoDS system in solving a data science task. We studied AutoDS with 30 professional data scientists, where one group used AutoDS, and the other did not, to complete a data science project. As expected, AutoDS improves productivity; Yet surprisingly, we find that the models produced by the AutoDS group have higher quality and less errors, but lower human confidence scores. We reflect on the findings by presenting design implications for incorporating automation techniques into human work in the data science lifecycle.",c0,International Conference on Human Factors in Computing Systems,cp0,accepted,f1,2019,2019-10-29
s4,p4,"Data Science and Analytics: An Overview from Data-Driven Smart Computing, Decision-Making and Applications Perspective",Abstract content goes here ...,j2,SN Computer Science,jv2,accepted,f2,2014,2014-11-03
s5,p5,Computational Optimal Transport: With Applications to Data Science,"The goal of Optimal Transport (OT) is to define geometric tools that are useful to compare probability distributions. Their use dates back to 1781. Recent years have witnessed a new revolution in the spread of OT, thanks to the emergence of approximate solvers that can scale to sizes and dimensions that are relevant to data sciences. Thanks to this newfound scalability, OT is being increasingly used to unlock various problems in imaging sciences (such as color or texture processing), computer vision and graphics (for shape manipulation) or machine learning (for regression, classification and density fitting). This monograph reviews OT with a bias toward numerical methods and their applications in data sciences, and sheds lights on the theoretical properties of OT that make it particularly useful for some of these applications. Computational Optimal Transport presents an overview of the main theoretical insights that support the practical effectiveness of OT before explaining how to turn these insights into fast computational schemes. Written for readers at all levels, the authors provide descriptions of foundational theory at two-levels. Generally accessible to all readers, more advanced readers can read the specially identified more general mathematical expositions of optimal transport tailored for discrete measures. Furthermore, several chapters deal with the interplay between continuous and discrete measures, and are thus targeting a more mathematically-inclined audience. This monograph will be a valuable reference for researchers and students wishing to get a thorough understanding of Computational Optimal Transport, a mathematical gem at the interface of probability, analysis and optimization.",c44,International Workshop on Green and Sustainable Software,cp44,accepted,f3,2008,2008-04-21
s7,p7,Data Science,"Data Science refers to an arising district of work regard the accumulation, arrangement, reasoning, imagination, administration, and protection of abundant groups of facts. Although the name Data Science appears to combine most powerfully accompanying extents to a degree databases and information technology, many various types of abilities containing nonmathematical abilities are still wanted attending. Data Science is much in addition to plainly analysing data. The main aim of Data Science search out turn big sets of two together unorganized and organized data into valuable news that can help organisations to create strong data-compelled resolutions. At a extreme level, data erudition maybe defined as a set of fundamental law unavoidable for profitable ancestry of news from data. Since we accumulate data continually and about everything, its use is various. The most average request is in healthcare, travel, e - trade, sports, management, public publishing, etc. The aim concerning this paper search out present data erudition and to present allure benefits and request in differing fields.",j4,"International Journal of Advanced Research in Science, Communication and Technology",jv4,accepted,f4,2003,2003-09-05
s8,p8,Eleven grand challenges in single-cell data science,Abstract content goes here ...,j5,Genome Biology,jv5,accepted,f5,2020,2020-05-14
s9,p9,Computing competencies for undergraduate data science curricula,Abstract content goes here ...,c110,IEEE International Conference on Automatic Face & Gesture Recognition,cp110,accepted,f6,2008,2008-03-26
s11,p11,Foundations of Data Science,"Computer science as an academic discipline began in the 1960’s. Emphasis was on programming languages, compilers, operating systems, and the mathematical theory that supported these areas. Courses in theoretical computer science covered finite automata, regular expressions, context-free languages, and computability. In the 1970’s, the study of algorithms was added as an important component of theory. The emphasis was on making computers useful. Today, a fundamental change is taking place and the focus is more on applications. There are many reasons for this change. The merging of computing and communications has played an important role. The enhanced ability to observe, collect, and store data in the natural sciences, in commerce, and in other fields calls for a change in our understanding of data and how to handle it in the modern setting. The emergence of the web and social networks as central aspects of daily life presents both opportunities and challenges for theory.",c103,ACM SIGACT-SIGOPS Symposium on Principles of Distributed Computing,cp103,accepted,f7,2021,2021-09-17
s12,p12,Data science: a game changer for science and innovation,Abstract content goes here ...,j7,International Journal of Data Science and Analysis,jv7,accepted,f8,2001,2001-12-18
s13,p13,"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science","We present QIIME 2, an open-source microbiome data science platform accessible to users spanning the microbiome research ecosystem, from scientists and engineers to clinicians and policy makers. QIIME 2 provides new features that will drive the next generation of microbiome research. These include interactive spatial and temporal analysis and visualization tools, support for metabolomics and shotgun metagenomics analysis, and automated data provenance tracking to ensure reproducible, transparent microbiome data science.",c10,Big Data,cp10,accepted,f9,2021,2021-11-03
s14,p14,Cybersecurity data science: an overview from machine learning perspective,Abstract content goes here ...,j8,Journal of Big Data,jv8,accepted,f10,2019,2019-12-30
s15,p15,Leveraging Data Science to Combat COVID-19: A Comprehensive Review,"COVID-19, an infectious disease caused by the SARS-CoV-2 virus, was declared a pandemic by the World Health Organisation (WHO) in March 2020. By mid-August 2020, more than 21 million people have tested positive worldwide. Infections have been growing rapidly and tremendous efforts are being made to fight the disease. In this paper, we attempt to systematise the various COVID-19 research activities leveraging data science, where we define data science broadly to encompass the various methods and tools—including those from artificial intelligence (AI), machine learning (ML), statistics, modeling, simulation, and data visualization—that can be used to store, process, and extract insights from data. In addition to reviewing the rapidly growing body of recent research, we survey public datasets and repositories that can be used for further work to track COVID-19 spread and mitigation strategies. As part of this, we present a bibliometric analysis of the papers produced in this short span of time. Finally, building on these insights, we highlight common challenges and pitfalls observed across the surveyed works. We also created a live resource repository at https://github.com/Data-Science-and-COVID-19/Leveraging-Data-Science-To-Combat-COVID-19-A-Comprehensive-Review that we intend to keep updated with the latest resources including new papers and datasets.",j9,IEEE Transactions on Artificial Intelligence,jv9,accepted,f11,2011,2011-03-29
s16,p16,"Machine Learning in Python: Main developments and technology trends in data science, machine learning, and artificial intelligence","Smarter applications are making better use of the insights gleaned from data, having an impact on every industry and research discipline. At the core of this revolution lies the tools and the methods that are driving it, from processing the massive piles of data generated each day to learning from and taking useful action. Deep neural networks, along with advancements in classical machine learning and scalable general-purpose graphics processing unit (GPU) computing, have become critical components of artificial intelligence, enabling many of these astounding breakthroughs and lowering the barrier to adoption. Python continues to be the most preferred language for scientific computing, data science, and machine learning, boosting both performance and productivity by enabling the use of low-level libraries and clean high-level APIs. This survey offers insight into the field of machine learning with Python, taking a tour through important topics to identify some of the core hardware and software paradigms that have enabled it. We cover widely-used libraries and concepts, collected together for holistic comparison, with the goal of educating the reader and driving the field of Python machine learning forward.",c74,IEEE International Conference on Tools with Artificial Intelligence,cp74,accepted,f12,2003,2003-01-15
