handlerId,conferenceJournalId,authorId
chair0,c14,a3224
chair0,c14,a7848
chair0,c14,a9181
chair0,c14,a8402
chair0,c14,a2277
chair0,c14,a5905
chair0,c14,a7241
chair0,c14,a2221
chair0,c14,a6226
chair0,c14,a3981
chair0,c14,a8447
chair0,c14,a4887
chair0,c14,a3393
chair0,c14,a2900
chair0,c14,a9411
chair0,c14,a7673
chair0,c14,a2341
chair0,c14,a10080
chair0,c14,a4678
chair0,c14,a1547
chair0,c14,a6486
chair0,c14,a10669
chair0,c14,a5062
chair0,c14,a10530
chair0,c14,a8969
chair0,c14,a4253
chair0,c14,a43
chair0,c14,a1495
chair63,c14,a3224
chair63,c14,a7848
chair63,c14,a9181
chair63,c14,a8402
chair63,c14,a2277
chair63,c14,a5905
chair63,c14,a7241
chair63,c14,a2221
chair63,c14,a6226
chair63,c14,a3981
chair63,c14,a8447
chair63,c14,a4887
chair63,c14,a3393
chair63,c14,a2900
chair63,c14,a9411
chair63,c14,a7673
chair63,c14,a2341
chair63,c14,a10080
chair63,c14,a4678
chair63,c14,a1547
chair63,c14,a6486
chair63,c14,a10669
chair63,c14,a5062
chair63,c14,a10530
chair63,c14,a8969
chair63,c14,a4253
chair63,c14,a43
chair63,c14,a1495
chair111,c14,a3224
chair111,c14,a7848
chair111,c14,a9181
chair111,c14,a8402
chair111,c14,a2277
chair111,c14,a5905
chair111,c14,a7241
chair111,c14,a2221
chair111,c14,a6226
chair111,c14,a3981
chair111,c14,a8447
chair111,c14,a4887
chair111,c14,a3393
chair111,c14,a2900
chair111,c14,a9411
chair111,c14,a7673
chair111,c14,a2341
chair111,c14,a10080
chair111,c14,a4678
chair111,c14,a1547
chair111,c14,a6486
chair111,c14,a10669
chair111,c14,a5062
chair111,c14,a10530
chair111,c14,a8969
chair111,c14,a4253
chair111,c14,a43
chair111,c14,a1495
chair579,c14,a3224
chair579,c14,a7848
chair579,c14,a9181
chair579,c14,a8402
chair579,c14,a2277
chair579,c14,a5905
chair579,c14,a7241
chair579,c14,a2221
chair579,c14,a6226
chair579,c14,a3981
chair579,c14,a8447
chair579,c14,a4887
chair579,c14,a3393
chair579,c14,a2900
chair579,c14,a9411
chair579,c14,a7673
chair579,c14,a2341
chair579,c14,a10080
chair579,c14,a4678
chair579,c14,a1547
chair579,c14,a6486
chair579,c14,a10669
chair579,c14,a5062
chair579,c14,a10530
chair579,c14,a8969
chair579,c14,a4253
chair579,c14,a43
chair579,c14,a1495
chair630,c14,a3224
chair630,c14,a7848
chair630,c14,a9181
chair630,c14,a8402
chair630,c14,a2277
chair630,c14,a5905
chair630,c14,a7241
chair630,c14,a2221
chair630,c14,a6226
chair630,c14,a3981
chair630,c14,a8447
chair630,c14,a4887
chair630,c14,a3393
chair630,c14,a2900
chair630,c14,a9411
chair630,c14,a7673
chair630,c14,a2341
chair630,c14,a10080
chair630,c14,a4678
chair630,c14,a1547
chair630,c14,a6486
chair630,c14,a10669
chair630,c14,a5062
chair630,c14,a10530
chair630,c14,a8969
chair630,c14,a4253
chair630,c14,a43
chair630,c14,a1495
chair633,c14,a3224
chair633,c14,a7848
chair633,c14,a9181
chair633,c14,a8402
chair633,c14,a2277
chair633,c14,a5905
chair633,c14,a7241
chair633,c14,a2221
chair633,c14,a6226
chair633,c14,a3981
chair633,c14,a8447
chair633,c14,a4887
chair633,c14,a3393
chair633,c14,a2900
chair633,c14,a9411
chair633,c14,a7673
chair633,c14,a2341
chair633,c14,a10080
chair633,c14,a4678
chair633,c14,a1547
chair633,c14,a6486
chair633,c14,a10669
chair633,c14,a5062
chair633,c14,a10530
chair633,c14,a8969
chair633,c14,a4253
chair633,c14,a43
chair633,c14,a1495
chair862,c14,a3224
chair862,c14,a7848
chair862,c14,a9181
chair862,c14,a8402
chair862,c14,a2277
chair862,c14,a5905
chair862,c14,a7241
chair862,c14,a2221
chair862,c14,a6226
chair862,c14,a3981
chair862,c14,a8447
chair862,c14,a4887
chair862,c14,a3393
chair862,c14,a2900
chair862,c14,a9411
chair862,c14,a7673
chair862,c14,a2341
chair862,c14,a10080
chair862,c14,a4678
chair862,c14,a1547
chair862,c14,a6486
chair862,c14,a10669
chair862,c14,a5062
chair862,c14,a10530
chair862,c14,a8969
chair862,c14,a4253
chair862,c14,a43
chair862,c14,a1495
chair934,c14,a3224
chair934,c14,a7848
chair934,c14,a9181
chair934,c14,a8402
chair934,c14,a2277
chair934,c14,a5905
chair934,c14,a7241
chair934,c14,a2221
chair934,c14,a6226
chair934,c14,a3981
chair934,c14,a8447
chair934,c14,a4887
chair934,c14,a3393
chair934,c14,a2900
chair934,c14,a9411
chair934,c14,a7673
chair934,c14,a2341
chair934,c14,a10080
chair934,c14,a4678
chair934,c14,a1547
chair934,c14,a6486
chair934,c14,a10669
chair934,c14,a5062
chair934,c14,a10530
chair934,c14,a8969
chair934,c14,a4253
chair934,c14,a43
chair934,c14,a1495
chair963,c14,a3224
chair963,c14,a7848
chair963,c14,a9181
chair963,c14,a8402
chair963,c14,a2277
chair963,c14,a5905
chair963,c14,a7241
chair963,c14,a2221
chair963,c14,a6226
chair963,c14,a3981
chair963,c14,a8447
chair963,c14,a4887
chair963,c14,a3393
chair963,c14,a2900
chair963,c14,a9411
chair963,c14,a7673
chair963,c14,a2341
chair963,c14,a10080
chair963,c14,a4678
chair963,c14,a1547
chair963,c14,a6486
chair963,c14,a10669
chair963,c14,a5062
chair963,c14,a10530
chair963,c14,a8969
chair963,c14,a4253
chair963,c14,a43
chair963,c14,a1495
chair1153,c14,a3224
chair1153,c14,a7848
chair1153,c14,a9181
chair1153,c14,a8402
chair1153,c14,a2277
chair1153,c14,a5905
chair1153,c14,a7241
chair1153,c14,a2221
chair1153,c14,a6226
chair1153,c14,a3981
chair1153,c14,a8447
chair1153,c14,a4887
chair1153,c14,a3393
chair1153,c14,a2900
chair1153,c14,a9411
chair1153,c14,a7673
chair1153,c14,a2341
chair1153,c14,a10080
chair1153,c14,a4678
chair1153,c14,a1547
chair1153,c14,a6486
chair1153,c14,a10669
chair1153,c14,a5062
chair1153,c14,a10530
chair1153,c14,a8969
chair1153,c14,a4253
chair1153,c14,a43
chair1153,c14,a1495
chair1298,c14,a3224
chair1298,c14,a7848
chair1298,c14,a9181
chair1298,c14,a8402
chair1298,c14,a2277
chair1298,c14,a5905
chair1298,c14,a7241
chair1298,c14,a2221
chair1298,c14,a6226
chair1298,c14,a3981
chair1298,c14,a8447
chair1298,c14,a4887
chair1298,c14,a3393
chair1298,c14,a2900
chair1298,c14,a9411
chair1298,c14,a7673
chair1298,c14,a2341
chair1298,c14,a10080
chair1298,c14,a4678
chair1298,c14,a1547
chair1298,c14,a6486
chair1298,c14,a10669
chair1298,c14,a5062
chair1298,c14,a10530
chair1298,c14,a8969
chair1298,c14,a4253
chair1298,c14,a43
chair1298,c14,a1495
chair1457,c14,a3224
chair1457,c14,a7848
chair1457,c14,a9181
chair1457,c14,a8402
chair1457,c14,a2277
chair1457,c14,a5905
chair1457,c14,a7241
chair1457,c14,a2221
chair1457,c14,a6226
chair1457,c14,a3981
chair1457,c14,a8447
chair1457,c14,a4887
chair1457,c14,a3393
chair1457,c14,a2900
chair1457,c14,a9411
chair1457,c14,a7673
chair1457,c14,a2341
chair1457,c14,a10080
chair1457,c14,a4678
chair1457,c14,a1547
chair1457,c14,a6486
chair1457,c14,a10669
chair1457,c14,a5062
chair1457,c14,a10530
chair1457,c14,a8969
chair1457,c14,a4253
chair1457,c14,a43
chair1457,c14,a1495
chair1466,c14,a3224
chair1466,c14,a7848
chair1466,c14,a9181
chair1466,c14,a8402
chair1466,c14,a2277
chair1466,c14,a5905
chair1466,c14,a7241
chair1466,c14,a2221
chair1466,c14,a6226
chair1466,c14,a3981
chair1466,c14,a8447
chair1466,c14,a4887
chair1466,c14,a3393
chair1466,c14,a2900
chair1466,c14,a9411
chair1466,c14,a7673
chair1466,c14,a2341
chair1466,c14,a10080
chair1466,c14,a4678
chair1466,c14,a1547
chair1466,c14,a6486
chair1466,c14,a10669
chair1466,c14,a5062
chair1466,c14,a10530
chair1466,c14,a8969
chair1466,c14,a4253
chair1466,c14,a43
chair1466,c14,a1495
chair1574,c14,a3224
chair1574,c14,a7848
chair1574,c14,a9181
chair1574,c14,a8402
chair1574,c14,a2277
chair1574,c14,a5905
chair1574,c14,a7241
chair1574,c14,a2221
chair1574,c14,a6226
chair1574,c14,a3981
chair1574,c14,a8447
chair1574,c14,a4887
chair1574,c14,a3393
chair1574,c14,a2900
chair1574,c14,a9411
chair1574,c14,a7673
chair1574,c14,a2341
chair1574,c14,a10080
chair1574,c14,a4678
chair1574,c14,a1547
chair1574,c14,a6486
chair1574,c14,a10669
chair1574,c14,a5062
chair1574,c14,a10530
chair1574,c14,a8969
chair1574,c14,a4253
chair1574,c14,a43
chair1574,c14,a1495
chair1,c0,a1220
chair1,c0,a10438
chair1,c0,a3997
chair1,c0,a9377
chair1,c0,a2430
chair1,c0,a2104
chair1,c0,a5392
chair1,c0,a3721
chair1,c0,a2915
chair1,c0,a4365
chair1,c0,a4491
chair1,c0,a2385
chair1,c0,a1596
chair1,c0,a421
chair1,c0,a2556
chair1,c0,a9676
chair1,c0,a9654
chair1,c0,a2806
chair1,c0,a6124
chair1,c0,a6417
chair1,c0,a2481
chair1,c0,a6212
chair19,c0,a1220
chair19,c0,a10438
chair19,c0,a3997
chair19,c0,a9377
chair19,c0,a2430
chair19,c0,a2104
chair19,c0,a5392
chair19,c0,a3721
chair19,c0,a2915
chair19,c0,a4365
chair19,c0,a4491
chair19,c0,a2385
chair19,c0,a1596
chair19,c0,a421
chair19,c0,a2556
chair19,c0,a9676
chair19,c0,a9654
chair19,c0,a2806
chair19,c0,a6124
chair19,c0,a6417
chair19,c0,a2481
chair19,c0,a6212
chair23,c0,a1220
chair23,c0,a10438
chair23,c0,a3997
chair23,c0,a9377
chair23,c0,a2430
chair23,c0,a2104
chair23,c0,a5392
chair23,c0,a3721
chair23,c0,a2915
chair23,c0,a4365
chair23,c0,a4491
chair23,c0,a2385
chair23,c0,a1596
chair23,c0,a421
chair23,c0,a2556
chair23,c0,a9676
chair23,c0,a9654
chair23,c0,a2806
chair23,c0,a6124
chair23,c0,a6417
chair23,c0,a2481
chair23,c0,a6212
chair32,c0,a1220
chair32,c0,a10438
chair32,c0,a3997
chair32,c0,a9377
chair32,c0,a2430
chair32,c0,a2104
chair32,c0,a5392
chair32,c0,a3721
chair32,c0,a2915
chair32,c0,a4365
chair32,c0,a4491
chair32,c0,a2385
chair32,c0,a1596
chair32,c0,a421
chair32,c0,a2556
chair32,c0,a9676
chair32,c0,a9654
chair32,c0,a2806
chair32,c0,a6124
chair32,c0,a6417
chair32,c0,a2481
chair32,c0,a6212
chair316,c0,a1220
chair316,c0,a10438
chair316,c0,a3997
chair316,c0,a9377
chair316,c0,a2430
chair316,c0,a2104
chair316,c0,a5392
chair316,c0,a3721
chair316,c0,a2915
chair316,c0,a4365
chair316,c0,a4491
chair316,c0,a2385
chair316,c0,a1596
chair316,c0,a421
chair316,c0,a2556
chair316,c0,a9676
chair316,c0,a9654
chair316,c0,a2806
chair316,c0,a6124
chair316,c0,a6417
chair316,c0,a2481
chair316,c0,a6212
chair705,c0,a1220
chair705,c0,a10438
chair705,c0,a3997
chair705,c0,a9377
chair705,c0,a2430
chair705,c0,a2104
chair705,c0,a5392
chair705,c0,a3721
chair705,c0,a2915
chair705,c0,a4365
chair705,c0,a4491
chair705,c0,a2385
chair705,c0,a1596
chair705,c0,a421
chair705,c0,a2556
chair705,c0,a9676
chair705,c0,a9654
chair705,c0,a2806
chair705,c0,a6124
chair705,c0,a6417
chair705,c0,a2481
chair705,c0,a6212
chair1274,c0,a1220
chair1274,c0,a10438
chair1274,c0,a3997
chair1274,c0,a9377
chair1274,c0,a2430
chair1274,c0,a2104
chair1274,c0,a5392
chair1274,c0,a3721
chair1274,c0,a2915
chair1274,c0,a4365
chair1274,c0,a4491
chair1274,c0,a2385
chair1274,c0,a1596
chair1274,c0,a421
chair1274,c0,a2556
chair1274,c0,a9676
chair1274,c0,a9654
chair1274,c0,a2806
chair1274,c0,a6124
chair1274,c0,a6417
chair1274,c0,a2481
chair1274,c0,a6212
chair1289,c0,a1220
chair1289,c0,a10438
chair1289,c0,a3997
chair1289,c0,a9377
chair1289,c0,a2430
chair1289,c0,a2104
chair1289,c0,a5392
chair1289,c0,a3721
chair1289,c0,a2915
chair1289,c0,a4365
chair1289,c0,a4491
chair1289,c0,a2385
chair1289,c0,a1596
chair1289,c0,a421
chair1289,c0,a2556
chair1289,c0,a9676
chair1289,c0,a9654
chair1289,c0,a2806
chair1289,c0,a6124
chair1289,c0,a6417
chair1289,c0,a2481
chair1289,c0,a6212
chair1497,c0,a1220
chair1497,c0,a10438
chair1497,c0,a3997
chair1497,c0,a9377
chair1497,c0,a2430
