volumeId,volumeName,volumeYear
jv0,journal0,2006
jv1,journal1,2020
jv2,journal2,2014
jv3,journal3,2019
jv4,journal4,2003
jv5,journal5,2020
jv6,journal6,2010
jv7,journal7,2001
jv8,journal8,2019
jv9,journal9,2011
jv10,journal10,2021
jv11,journal11,2011
jv12,journal12,2003
jv13,journal13,2013
jv14,journal14,2020
jv15,journal15,2012
jv16,journal16,2010
jv17,journal17,2020
jv18,journal18,2006
jv19,journal19,2008
jv20,journal20,2006
jv21,journal21,2010
jv22,journal22,2004
jv23,journal23,2018
jv24,journal24,2002
jv25,journal25,2008
jv26,journal26,2019
jv27,journal27,2003
jv28,journal28,2014
jv29,journal29,2007
jv30,journal30,2019
jv31,journal31,2019
jv32,journal32,2015
jv33,journal33,2019
jv34,journal34,2001
jv35,journal35,2013
jv36,journal36,2007
jv37,journal37,2011
jv38,journal38,2019
jv39,journal39,2007
jv40,journal40,2017
jv41,journal41,2019
jv42,journal42,2011
jv43,journal43,2002
jv44,journal44,2022
jv45,journal45,2019
jv46,journal46,2002
jv47,journal47,2002
jv48,journal48,2019
jv49,journal49,2012
jv50,journal50,2013
jv51,journal51,2011
jv52,journal52,2020
jv53,journal53,2021
jv54,journal54,2006
jv55,journal55,2006
jv56,journal56,2004
jv57,journal57,2020
jv58,journal58,2012
jv59,journal59,2006
jv60,journal60,2001
jv61,journal61,2018
jv62,journal62,2017
jv63,journal63,2012
jv64,journal64,2003
jv65,journal65,2013
jv66,journal66,2015
jv67,journal67,2019
jv68,journal68,2012
jv69,journal69,2002
jv70,journal70,2005
jv71,journal71,2015
jv72,journal72,2016
jv73,journal73,2020
jv74,journal74,2015
jv75,journal75,2015
jv76,journal76,2020
jv77,journal77,2006
jv78,journal78,2012
jv79,journal79,2014
jv80,journal80,2011
jv81,journal81,2018
jv82,journal82,2017
jv83,journal83,2015
jv84,journal84,2013
jv85,journal85,2007
jv86,journal86,2004
jv87,journal87,2014
jv88,journal88,2021
jv89,journal89,2005
jv90,journal90,2002
jv91,journal91,2006
jv92,journal92,2021
jv93,journal93,2021
jv94,journal94,2007
jv95,journal95,2019
jv96,journal96,2014
jv97,journal97,2012
jv98,journal98,2018
jv99,journal99,2013
jv100,journal100,2002
jv101,journal101,2020
jv102,journal102,2002
jv103,journal103,2006
jv104,journal104,2010
jv105,journal105,2008
jv106,journal106,2002
jv107,journal107,2019
jv108,journal108,2006
jv109,journal109,2004
jv110,journal110,2021
jv111,journal111,2019
jv112,journal112,2012
jv113,journal113,2006
jv114,journal114,2010
jv115,journal115,2002
jv116,journal116,2013
jv117,journal117,2020
jv118,journal118,2014
jv119,journal119,2003
jv120,journal120,2012
jv121,journal121,2007
jv122,journal122,2016
jv123,journal123,2006
jv124,journal124,2006
jv125,journal125,2013
jv126,journal126,2015
jv127,journal127,2011
jv128,journal128,2002
jv129,journal129,2006
jv130,journal130,2006
jv131,journal131,2019
jv132,journal132,2014
jv133,journal133,2005
jv134,journal134,2017
jv135,journal135,2021
jv136,journal136,2013
jv137,journal137,2004
jv138,journal138,2013
jv139,journal139,2004
jv140,journal140,2008
jv141,journal141,2004
jv142,journal142,2014
jv143,journal143,2021
